,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,0.10565305,0.102316638,0.553919361,1.28003675,3.101007477,2.283120064,4.592689558,22.43426305,21.31529624,1.690028593,0.044240937,0.013584354
1923,0.164856839,0.6338906,3.451278455,2.209049657,1.506315409,2.195163544,7.506300928,18.62446109,8.140369553,1.427937646,0.023361811,0.06124898
1924,0.713204673,0.426646162,0.415016339,0.513255005,1.081037355,1.420476884,5.735335712,7.016829115,-0.51697343,0.540070575,0.008835839,0.023165417
1925,0.302624086,1.39172869,1.532695086,1.518807079,4.622398661,4.360035891,10.87681662,19.36766242,8.93446458,0.838436114,0.035017404,0.054022095
1926,0.233866394,0.451756648,1.14138695,0.946103284,1.942098442,3.029344937,11.2463607,7.999923149,0.755331079,-0.031286504,0.018057331,0.027857429
1927,0.103130888,1.721585007,2.417363162,2.192143992,4.438658261,3.95958439,9.734755255,16.37864531,13.88244699,1.371189197,0.048690746,0.02576463
1928,0.1488,1.785123967,0.860826446,0.73785124,0.632727273,12.78327273,10.01454545,13.89004959,1.118677686,0.115596694,0.061487603,0.044806612
1929,0.06825124,0.144595041,0.483292562,0.303133884,0.33322314,2.502545455,5.355371901,13.39814876,4.647272727,0.198604959,0.083008264,0.037309091
1930,0.032526942,0.036476033,1.371173554,1.229752066,1.943801653,3.621619835,9.056528926,9.29692562,4.385454545,0.098380165,0.019061157,0.01785124
1931,0.022197025,0.041057851,0.135272727,0.491900826,0.555371901,2.42261157,7.747438017,5.269487603,0.910413223,0.028345785,0.000799339,0
1932,0.007317025,0.020231405,0.061487603,0.092231405,0.345123967,3.369520661,8.342479339,18.47702479,13.97157025,0.916165289,0.023795702,0.005950413
1933,0.00614876,0.008747107,0.012297521,0.018446281,0.016661157,0.114981818,4.730578512,9.438347107,12.21024793,0.311742149,0.014449587,0.006545455
1934,0.047406942,0.088661157,0.47591405,1.026842975,1.338446281,7.778181818,7.40231405,3.080528926,1.416198347,0.051342149,0.007562975,0.014876033
1935,0.040889256,1.041322314,1.014545455,1.229752066,1.110743802,1.930710744,12.92429752,22.65203306,12.42446281,0.510347107,0.018261818,0.011900826
1936,0.02976,0.079735537,0.099609917,4.08892562,4.872,4.297983471,14.41785124,21.88343802,11.62115702,0.639471074,0.025578843,0.01267438
1937,0.013465785,0.012317355,0.043840661,0.030743802,0.27768595,1.395768595,7.152396694,24.23226446,8.110413223,0.298214876,0.017646942,0.006723967
1938,0.016048264,0.230280992,9.868760331,1.149818182,0.666446281,2.152066116,9.348099174,25.54809917,19.83867769,1.936859504,0.094076033,0.029752066
1939,0.316046281,0.928264463,0.93461157,0.51465124,0.499834711,3.670809917,10.12165289,5.429355372,0.797355372,0.083008264,0.00873124,0.012495868
1940,0.374459504,0.080330579,0.450089256,4.998942149,2.657454545,8.798876033,11.34743802,20.13104132,5.676694215,0.154333884,0.021828099,0.011900826
1941,0.012481983,0.120198347,1.647867769,0.983801653,2.749090909,4.254942149,6.402644628,25.33904132,12.84694215,1.352727273,0.055707769,0.013864463
1942,0.016847603,0.666446281,4.328727273,3.16661157,1.777190083,2.299636364,9.00892562,16.06056198,20.23735537,2.268892562,0.02976,0.009699174
1943,0.110826658,2.014353666,3.249785173,4.427977277,3.138212126,9.66848624,13.1493189,15.82966172,7.536961196,1.055467099,0.094936196,0.037041707
1944,0.00614876,0.011900826,0.122975207,0.307438017,0.460165289,2.152066116,4.617520661,17.25957025,5.765950413,0.317890909,0.021643636,0.010710744
1945,0.195530579,2.165950413,2.176661157,1.537190083,4.909487603,2.072132231,9.699173554,17.63464463,10.44892562,0.502968595,0.013896198,0.007140496
1946,0.725553719,1.713719008,3.504793388,1.721652893,1.371768595,3.959801653,12.66247934,19.23947107,5.063801653,0.196145455,0.021828099,0.00892562
1947,0.02361124,0.525421488,1.192859504,0.897719008,1.643900826,3.615471074,8.140165289,10.96938843,1.481652893,0.048206281,0.007317025,0.008509091
1948,1.242049587,1.07107438,0.509117355,3.277289256,1.156165289,1.49414876,4.849586777,15.83305785,16.51834711,0.842380165,0.025578843,0.006366942
1949,0.004734545,0.146380165,0.132813223,0.21397686,0.298234711,0.539861157,10.00264463,17.46247934,5.20661157,0.121745455,0.009530579,0.004165289
1950,0.00614876,0.109487603,0.07747438,1.654016529,2.249256198,3.055933884,10.96066116,21.42842975,12.62082645,0.731702479,0.018815207,0.008152066
1951,0.273004959,21.87966942,16.77381818,3.080528926,2.810181818,3.566280992,9.621818182,11.44284298,2.517024793,0.109447934,0.010329917,0.005950413
1952,0.014265124,0.568264463,0.860826446,0.885421488,1.392,1.721652893,11.23438017,30.4425124,23.39702479,5.134214876,0.199834711,0.040879339
1953,0.010329917,0.022790083,0.088542149,2.674710744,1.588363636,2.920661157,10.96066116,11.5166281,15.70909091,1.967603306,0.060503802,0.007735537
1954,0.011498182,0.158280992,0.700958678,0.866975207,2.476958678,5.540033058,11.88297521,13.68099174,2.035041322,0.089771901,0.006517686,0.001963636
1955,0.008116364,0.023980165,0.694809917,0.676363636,0.833057851,1.875371901,5.05785124,15.24277686,6.069421488,0.240416529,0.009530579,0.005950413
1956,0.00436562,0.120198347,15.99907438,6.972694215,2.720727273,5.509289256,10.24661157,22.19087603,16.00066116,1.408066116,0.04464,0.012079339
1957,0.105143802,0.636694215,0.707107438,0.462386777,4.659570248,3.584727273,7.693884298,15.42109091,9.651570248,0.243490909,0.029329587,0.014876033
