,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,0.046051754,0.11851403,1.599699436,2.034288601,9.999982785,4.895939462,3.574293563,1.839470091,0.081424026,0.001418714,0,0
1923,0.11763409,1.38113907,10.52949505,5.955395007,2.462057127,1.838997416,2.438282605,0.17083061,0.023867183,0.001666926,0,0
1924,0.044850352,0.04108584,0.056345998,0.078068028,0.124573076,0.033847713,0.025128855,0.001142183,0,0,0,0
1925,0.089632775,0.583734066,1.744479134,1.583990039,11.58637703,2.292692407,3.252768679,0.206734732,0.022137715,0,0,0
1926,0.121120771,0.205583262,0.384950986,0.402006204,3.833367632,1.021381254,1.029343239,0.025326224,0.000661039,0,0,0
1927,0.060379774,1.669436616,1.64699361,3.824421138,11.14862434,3.803156544,3.433692788,0.174179598,0.024269197,0,0,0
1928,0.126185892,0.948160662,1.489136748,1.365682376,2.359461999,9.434088192,1.575325689,0.05692529,0.004865758,0,0,0
1929,0.044472286,0.196682948,0.402674311,0.636065535,1.30879258,1.185487643,0.951459951,0.274883996,0.021190145,0.000559148,0,0
1930,0.022258607,0.042121446,0.572615772,1.894696277,1.482662598,3.134988294,0.858218513,0.073155452,0.007054687,0,0,0
1931,0.016495282,0.073498205,0.051229534,0.163001279,0.253510691,0.144171421,0.035498534,0.003501734,0.000372945,0,0,0
1932,0.013353867,0.155555801,3.578671353,2.633301811,6.970814071,2.101192575,1.271601896,0.525358224,0.025471497,0,0,0
1933,0.023469374,0.048904325,0.168298163,0.471215205,0.57319803,1.307437851,1.270895652,0.963371089,0.061116236,0.001276777,0,0
1934,0.054661899,0.142635373,1.532323811,2.056459201,1.200670397,0.425002302,0.037796827,0.005344017,0.002086728,0,0,0
1935,0.027501862,0.466814792,0.673613122,3.783699331,2.246809786,3.902120581,8.919962312,0.617095818,0.027523562,0.000545839,0,0
1936,0.12180841,0.205034404,0.310751819,6.878615783,17.82159319,2.825104956,1.748962132,0.162388846,0.031343512,0,0,0
1937,0.06100149,0.108003444,0.347957928,1.123963998,9.218092402,7.783353989,3.265865136,0.588030991,0.024233727,0.00025043,0,0
1938,0.115886254,0.337081167,3.6351172,2.2685461,14.79384291,13.16331273,4.41388157,1.187805625,0.07615806,0.006604864,0,0
