,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,0.089016589,0.229083884,2.449840729,2.729920241,15.03690907,9.97794316,13.09407655,17.89311425,6.616481189,1.115371986,0.209100188,0.066180044
1923,0.226390805,2.180763104,15.24257729,10.79570948,6.799649097,6.113687804,17.23766515,8.003193533,3.231361136,1.027502778,0.203539529,0.225112843
1924,0.653378644,0.53855248,0.808348418,1.194419324,2.836432242,1.437347911,2.686572013,1.081937965,0.127052525,0.003643994,0,0
1925,0.176682409,0.992869255,2.49978202,2.167661866,19.48513532,6.828224623,16.80505627,9.488522812,3.127447089,0.690796574,0.16847085,0.16270153
1926,0.307480311,0.424816579,0.729888129,0.736341586,8.463972705,3.893343751,9.709506073,2.679396205,0.515893163,0.072323564,0.001509191,0.011058127
1927,0.115634929,2.607095254,2.189788104,5.123109857,18.74742119,10.80639263,20.93667757,8.333364295,3.47917352,0.771307607,0.177473011,0.115929951
1928,0.25824383,1.573452736,2.114688891,1.940356271,3.721620607,22.04435471,14.97287265,4.532420951,1.101877093,0.368999133,0.102947664,0.077828093
1929,0.134950435,0.485228828,0.866649935,1.324779033,3.201489616,3.491132966,5.645201058,4.60491414,2.385143514,0.455430887,0.040288759,0.018194924
1930,0.055815451,0.105623298,1.121146169,3.393517843,3.012179272,9.440772784,6.784468814,4.462568087,1.393321405,0.269930476,0.043021142,0.063936951
1931,0.168231877,0.593145784,0.393449985,1.382896086,2.584003091,3.177074313,2.176710944,1.205957026,0.469173711,0.038895972,0,0
1932,0.027355428,0.318656416,5.286663896,4.142024303,13.3230891,7.435306293,7.544843317,9.976720969,3.674071113,0.717656586,0.125527862,0.031178933
1933,0.072105508,0.146010133,0.407372014,1.021544014,1.205623013,3.25454854,4.14639429,6.77516771,4.622750309,0.611895701,0.056863386,0.007832607
1934,0.159817457,0.341221265,3.228411066,5.278849382,5.551377631,4.797865797,2.430016458,1.072041538,0.749366225,0.106193096,0.00079492,0
1935,0.054514222,0.839339834,1.045774415,5.221334092,3.455476858,6.267367302,27.27510227,11.78968373,3.822982955,0.905052874,0.175150183,0.038263406
1936,0.228545528,0.384700005,0.498057779,9.123892249,33.34156704,11.64302753,15.50712242,7.651952527,4.270009281,0.982924999,0.214624572,0.117261228
1937,0.119219692,0.211079061,0.596861155,1.676133991,13.57671814,16.72230534,15.07857037,12.95264025,3.339897192,0.891079818,0.187784726,0.072023973
1938,0.210787258,0.613122027,4.961349448,2.864657216,20.84280466,28.67588635,20.14005519,19.44388634,7.64222516,1.860071084,0.60547113,0.283572922
