,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,0.498124283,0.482394042,1.189654152,0.002180507,-0.03648339,-0.054896018,4.186355424,2.000551488,-0.009889021,0.026148337,0.014120247,0.00464763
1923,0.741115035,0.913209793,-0.030758602,0.350489998,1.683139602,1.108406959,0.593854514,0.930942638,-0.000579418,0.012546246,0.004479413,0.017190173
1924,0.375913141,-0.002402251,-0.003392714,-0.007078576,0.560956295,0.15402291,0.354803312,7.33196E-06,-0.001771705,0.002854518,0.001019155,0.003911102
1925,1.408775685,0.600896299,-0.014786621,-0.019351775,2.502406728,1.277487758,1.409474268,0.466682196,0.004035481,0.013449777,0.006963261,0.017323985
1926,0.833103696,0.009041166,-0.007722064,-0.013108274,0.945672806,0.636099562,0.796332275,-0.002251355,0.013372391,-0.006159995,0.002917078,0.007257436
1927,0.484251658,1.634161519,-0.023578828,-0.047190837,3.936458165,0.076994941,1.296158135,0.693108365,-0.003265422,0.021507513,0.013099801,0.008778962
1928,1.463609879,-0.008076026,-0.014910647,-0.026403552,0.958974019,2.603799061,0.600880896,-0.005247304,0.011805049,0.003358966,0.014791429,0.000360378
1929,0.251058852,0.507667092,0.002008841,-0.001565189,-0.006223708,0.257458367,1.157722095,0.721282237,0.003444363,0.004518607,0.007669626,0.000186862
1930,0.263608553,0.278602464,0.532117197,-0.013143425,0.197925353,1.838318506,0.986038308,0.015981439,0.003840365,0.007152335,0.004490288,0.006958223
1931,0.365426311,0.088448482,-0.00167923,-0.002802649,-0.012691311,0.869141082,0.419248009,-0.002282742,0.006021991,-0.001457657,0.001886999,0.002924125
1932,-0.191759929,0.873495961,1.121828394,-0.008022101,-0.046163141,2.313644732,1.07524167,1.719213843,-0.005916707,0.011633173,0.014881806,0.010754539
1933,0.050338781,0.271628792,0.685978653,0.002345075,-0.001230396,-0.019078145,1.923937767,0.884510117,0.040650892,0.003605808,0.001389632,0.015893942
1934,0.662768505,-3.23376E-05,-0.013298043,0.436460362,0.823335289,0.509853422,0.101104797,-0.0001348,0.009150981,0.003805196,0.000589538,0.00017624
1935,0.079781446,1.567484094,-0.001153622,-0.013053993,-0.033373546,0.913831787,2.567406681,1.183298327,0.001776794,0.016581575,0.006259403,0.007168298
1936,0.754827312,0.857337607,0.481351393,-0.007275186,1.301228072,2.636623631,1.440262176,0.504144476,0.003520279,0.011603131,0.017613469,0.01064384
1937,0.587442277,0.625731814,0.356680112,0.002834793,-0.030764041,1.280615859,1.696374084,1.450606042,0.003333159,0.010273183,0.010056964,0.00861462
