,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,1.424719273,1.379728138,5.74656674,10.67885191,23.67674244,20.28808045,42.96734041,202.5475651,209.6961745,30.78733382,1.884081507,0.564813332
1923,2.266933071,6.454719355,27.51366466,20.05693914,14.19646915,21.32196122,68.86525881,174.3198327,85.58080698,25.02453924,1.064311156,2.682716232
1924,7.768835177,4.022620094,3.528253733,5.386042763,11.66124628,15.86571049,60.76399838,85.19506072,-9.976216783,10.96092708,0.466175895,1.175048888
1925,4.102709698,12.30899856,12.24540483,11.11173511,41.98623001,41.42939817,97.27301705,181.6331139,97.50625825,15.62684634,1.575201109,2.299707451
1926,3.159387488,4.394888345,9.788577289,7.90637766,19.04420543,30.93342242,110.1697892,87.14415419,15.40955692,-1.495100593,0.875783917,1.278596611
1927,1.39311276,16.1137849,18.81081928,18.21792409,40.79759882,37.48092471,86.55086052,150.8355919,142.264804,24.99313098,2.129521751,1.073099762
1928,5.255698039,18.47813675,8.602491004,10.80172126,13.9341998,103.3584011,87.96366906,136.7862182,23.625072,0.826079959,2.392443693,0.048479889
1929,1.01418427,2.156003935,3.376782487,4.044607397,7.010282043,17.70392802,40.71282509,133.3953605,58.84879158,2.741971912,1.582796435,0.032073397
1930,0.923711498,0.976251704,13.89430486,9.914615375,16.0564406,33.43157595,82.43422876,99.52067497,70.21420979,6.076931162,1.033586145,1.03599334
1931,1.918127675,4.466987933,2.515670579,4.177910915,9.461869061,20.17264663,71.47421759,82.10386118,14.93942799,-0.556927094,0.653033799,0.654554698
1932,-0.57345421,2.612172095,9.107295512,11.34838121,23.50925729,29.71815832,56.58157551,162.3923716,153.9348898,25.45113222,3.095865483,1.366515186
1933,0.180760193,0.975384623,2.409778489,3.504072184,5.024465621,14.32656672,35.32458228,87.6829014,149.8194784,15.27750298,3.80343462,3.644227164
1934,4.827616726,4.246069436,11.95025503,14.22522053,16.6658517,59.84998759,79.0285436,40.07159065,21.71692751,0.696133405,0.107851772,0.032241933
1935,0.244332639,8.797018813,7.582687782,11.28500911,14.81239498,18.0187895,85.31536523,167.4096112,119.8326407,12.80425173,0.864364644,0.932776063
1936,2.176339306,2.471899869,2.963088507,19.26684834,47.39270891,43.79671251,108.9546509,181.603508,106.8058523,16.5115904,3.350763208,1.30394447
1937,1.823164333,1.941638603,4.406895187,3.53330302,22.75132377,27.87123413,60.56226343,203.9990358,90.89769794,11.75260151,2.015563063,1.136000485
1938,1.736471299,3.61899129,63.23568456,10.80461292,22.66320681,53.0201058,85.98713216,211.3945349,184.704442,35.65539129,4.792535385,2.110878838
1939,5.012210578,8.215303911,7.400861511,6.575453685,7.754547554,34.14571094,110.0390569,71.50052869,15.8860112,1.718998457,0.513068423,1.729513046
1940,5.619517317,2.287590221,5.654481697,35.67226081,34.43839113,72.16092409,102.1823393,182.7123421,68.45705389,5.846615805,1.726632171,1.053118475
1941,1.228716804,3.401533608,15.63691795,15.87953589,24.69661356,37.16565023,50.55854955,203.1653766,125.4388706,25.97934904,2.851472375,1.719408271
1942,2.171591012,7.066120906,34.10293119,36.69020471,26.3762045,26.97463313,80.64413103,143.297125,174.2731746,37.55624342,4.797651288,1.861937795
1943,1.489056429,18.47507494,24.70562873,39.71547296,29.68122989,86.87687862,118.1681897,151.1914506,81.96633087,18.35976736,4.202261619,1.534534275
1944,2.431416567,2.212413993,4.764719196,6.21330787,10.53596253,21.59477749,38.29639683,155.4731394,68.27504179,10.3384558,2.033933817,0.010063562
1945,0.860495852,18.92345486,16.96483968,12.15016481,44.69018435,24.60923963,73.31727026,155.2377033,113.6474114,17.87620962,3.815814819,1.21730052
1946,5.651516735,20.11992526,32.77683549,24.72424707,15.14425302,37.55979931,100.9600396,158.8024499,61.72154162,7.129933395,0.94876577,0.591525959
1947,2.295801105,10.61932333,10.11890439,6.004276629,15.55677315,32.88141009,71.69452593,119.913584,26.52372294,1.653378033,-0.195344267,0.377459987
1948,9.596310253,7.075273714,4.63081778,14.84067567,6.820667877,12.66009966,51.13336163,143.5630723,144.9987514,19.62678557,3.074121436,1.657490008
1949,1.141635579,3.026376059,4.375225971,3.287715234,3.369554754,18.86216446,88.49023618,163.2450671,64.69709515,3.36518284,2.471014814,0.901463387
1950,0.741402428,2.340344232,2.781123371,18.09689398,23.91920176,29.29704829,94.4054675,167.7690498,115.0111717,15.89602361,2.087936024,2.297549641
1951,5.372236514,127.7755603,137.0046738,48.05115784,47.91398445,50.04458718,81.49376601,105.263663,41.48760596,6.300446881,1.278673765,1.459396856
1952,0.881694515,6.463504791,22.56536263,28.02066143,30.30903871,32.5662621,104.7065647,228.4160296,184.6020298,64.34621462,9.74443281,5.269420824
1953,3.281513713,4.043123069,8.236574629,28.23127152,13.51442104,22.29649307,77.19890466,98.43876164,141.0607698,33.37082384,5.123931571,3.084492874
1954,2.045868162,4.861228764,5.486467252,9.272438171,14.22611084,39.6732846,105.3904846,137.4009274,33.70576269,-0.354038745,4.194193953,2.524811501
1955,-0.085210068,3.064872829,10.09380031,9.406267937,10.50894006,17.4105382,37.97955244,136.8128289,80.44637029,7.117502019,1.495209486,0.369548123
1956,0.637484837,2.38094927,98.36126604,70.26719285,33.12478819,45.69681554,72.98990018,187.6024843,146.3305412,30.24838033,3.476664913,1.844490656
1957,4.258274593,4.924149128,5.789654247,5.963938903,23.78972261,37.49635825,56.74439889,135.6553098,108.4299534,10.7185528,0.950127984,1.17534097
1958,2.324943138,4.965425153,8.96634378,10.76125688,30.2579971,31.01349036,69.013609,228.9224512,159.3719574,40.5240934,8.699155274,2.341240552
1959,3.562414353,4.018819739,2.878386929,16.47623297,17.52043612,32.3843777,82.85081943,85.90710666,33.02231037,4.86480381,2.26153332,3.814821883
